Record_ID,Timestamp,Plant_Location,Production_Line,Machine_ID,Machine_Name,Machine_Type,Manufacturer,Model,Year_Installed,Operating_Hours,Motor_Temp_C,Ambient_Temp_C,Vibration_mm_s,RPM,Power_Draw_kW,Conveyor_Speed_m_min,Pressure_PSI,Hydraulic_Fluid_Temp_C,Noise_Level_dB,Product_Type,Batch_ID,Units_Produced,Defect_Count,Defect_Rate_Pct,Downtime_Minutes,Last_Maintenance_Date,Maintenance_Type,Days_Since_Maintenance,Firmware_Version,Sensor_Status,Error_Code,Error_Description,Operator_ID,Shift,Throughput_Units_Hr,OEE_Pct,Severity_Level,Severity_Description,Corrective_Action
REC-00316,2024-01-05 20:39:41,Milton-South,CKE-Line-A,MIL-CNV-1300-01,Modular Belt Conveyor,Conveying,Intralox,Series 2400,2018,54924,53.2,31.1,2.1,2050,10.3,26.0,137.7,63.0,70.9,Muffins,B-20240105-3345,17541,161,0.92,0,2023-07-22,Preventive,167,v4.0.2,All Normal,E1003,Lubrication reminder triggered,OP-1006,Afternoon (2PM-10PM),2193,87.6,1,Normal Operation,Schedule lubrication
REC-00498,2024-01-06 23:12:28,Vaughan-North,DON-Line-B,VAU-FRZ-9100-01,Spiral Freezer,Freezing,JBT FoodTech,GYRoCOMPACT,2019,48987,49.3,24.6,1.29,3096,94.0,26.2,28.0,38.3,65.1,Donuts,B-20240106-4239,9126,135,1.48,10,2023-11-26,Predictive,41,v4.1.1,Degraded — Sensor #2,E1003,Lubrication reminder triggered,OP-1045,Morning (6AM-2PM),1165,93.3,1,Normal Operation,Schedule lubrication
REC-00194,2024-01-11 05:03:36,Brampton-West,FRZ-Line-C,BRA-FRZ-9100-01,Spiral Freezer,Freezing,JBT FoodTech,GYRoCOMPACT,2019,14113,36.1,30.9,3.92,300,65.1,29.8,41.0,42.8,78.2,Artisan Sourdough,B-20240111-3906,15420,154,1.0,10,2023-10-27,Lubrication,76,v3.2.1,Degraded — Sensor #2,E1005,Belt tension marginal,OP-1050,Afternoon (2PM-10PM),1969,86.8,1,Normal Operation,Inspect belt at next downtime
REC-00158,2024-01-12 01:13:55,Mississauga-East,TRT-Line-A,MIS-ING-8900-01,Flour Sifter,Ingredient Handling,Kason,Vibroscreen,2016,26577,47.3,30.0,0.93,1834,15.6,19.1,148.9,47.9,69.1,Artisan Sourdough,B-20240112-8904,6356,40,0.64,10,2023-02-10,Lubrication,336,v6.0.1,All Normal,E1005,Belt tension marginal,OP-1020,Night (10PM-6AM),811,86.1,1,Normal Operation,Inspect belt at next downtime
REC-00459,2024-01-12 06:30:29,Vaughan-North,PKG-Line-G,VAU-DEC-3300-01,Robotic Decorator,Decorating,ABB,IRB 360,2021,25244,104.5,29.3,22.41,2030,23.1,29.0,114.9,105.9,81.1,Cinnamon Rolls,B-20240112-3905,19000,1388,7.31,206,2023-07-11,Preventive,185,v4.0.2,Degraded — Sensor #2,E3002,Catastrophic bearing seizure,OP-1009,Night (10PM-6AM),4161,35.8,3,Critical Failure,Emergency shutdown — replace bearing assembly
REC-00186,2024-01-13 22:43:14,Toronto-Main,PKG-Line-D,TOR-SLC-2100-03,Ultrasonic Slicer,Slicing,Bettendorf Stanford,UltraCut,2019,58641,41.9,24.8,2.02,2545,20.4,7.2,85.1,50.6,83.5,White Bread,B-20240113-1651,8606,125,1.46,0,2023-11-18,Emergency,56,v5.1.3,All Normal,E1006,Sensor reading intermittent,OP-1026,Night (10PM-6AM),1076,96.5,1,Normal Operation,Clean sensor housing
REC-00133,2024-01-15 10:53:55,Milton-South,PKG-Line-F,MIL-OVN-6100-05,Tunnel Oven,Baking,GEA,ThermoGlide 3000,2016,19693,47.6,19.6,4.09,535,89.9,19.1,121.1,67.4,84.5,Brioche,B-20240115-7713,10178,78,0.77,10,2023-03-02,Predictive,319,v3.2.1,All Normal,E1002,Slight temperature drift detected,OP-1014,Night (10PM-6AM),1299,83.9,1,Normal Operation,Recalibrate sensor at next PM
REC-00330,2024-01-17 14:43:35,Vaughan-North,DON-Line-B,VAU-CIP-6600-04,CIP System,Sanitation,Alfa Laval,CIP Unit A3,2018,35751,116.4,27.8,14.89,3170,41.3,29.8,106.0,106.8,105.0,Danish Pastry,B-20240117-1693,20402,2199,10.78,127,2023-01-31,Inspection,351,v4.0.2,Degraded — Sensor #2,E3009,Electrical fault — arc flash risk,OP-1012,Morning (6AM-2PM),3468,39.3,3,Critical Failure,De-energize immediately — call certified electrician
REC-00075,2024-01-18 18:21:18,Milton-South,MIX-Line-C,MIL-DEP-1100-01,Servo Depositor,Depositing,Unifiller,Multi-Station,2020,45764,47.2,26.9,2.51,1308,13.8,8.2,144.5,51.5,74.1,Brioche,B-20240118-7813,23501,314,1.34,0,2023-11-18,Inspection,61,v4.1.1,Offline — Sensor #1,E1002,Slight temperature drift detected,OP-1044,Night (10PM-6AM),2938,93.0,1,Normal Operation,Recalibrate sensor at next PM
REC-00297,2024-01-19 11:19:05,Vaughan-North,DON-Line-B,VAU-DEC-3300-02,Robotic Decorator,Decorating,ABB,IRB 360,2021,16871,56.7,24.0,2.35,2958,23.8,14.3,130.9,31.4,67.8,Croissants,B-20240119-6006,24676,293,1.19,0,2023-10-03,Preventive,108,v6.0.1,All Normal,E1007,Minor speed fluctuation logged,OP-1022,Morning (6AM-2PM),3084,95.5,1,Normal Operation,Log and monitor
